X,y
0.0,0.08396505536309674
0.1,1.4845435334636796
0.2,2.1527050291647973
0.30000000000000004,2.7438833062027865
0.4,3.303584442309595
0.5,3.6374268228908964
0.6000000000000001,3.998472915727293
0.7000000000000001,4.54931425926425
0.8,4.560551678990582
0.9,4.902764521182713
1.0,5.241623737704955
1.1,5.2444555307644585
1.2000000000000002,5.569868870112125
1.3,5.55263696936189
1.4000000000000001,5.6703970065277876
1.5,5.560243022504556
1.6,5.474129561141189
1.7000000000000002,5.622004630879114
1.8,5.618340947116541
1.9000000000000001,5.7214019130137155
2.0,5.552289823668602
2.1,5.56979003762791
2.2,5.571965687447451
2.3000000000000003,5.669170354802799
2.4000000000000004,5.537236013872826
2.5,5.722007579795257
2.6,5.710985444472264
2.7,5.8000017874714676
2.8000000000000003,5.913910783574252
2.9000000000000004,5.912722988000465
3.0,6.095664784836052
3.1,6.3389778419082
3.2,6.502146703377225
3.3000000000000003,6.806730276632568
3.4000000000000004,7.028091108999694
3.5,7.368776966175638
3.6,7.698267041858512
3.7,7.79884104024308
3.8000000000000003,8.269350716069152
3.9000000000000004,8.259364042228501
4.0,8.59100949946577
4.1000000000000005,8.919435876381513
4.2,9.102370753435354
4.3,9.26263999763567
4.4,9.479899173125336
4.5,9.723565618904976
4.6000000000000005,9.745131696676482
4.7,9.80485570008298
4.800000000000001,9.720766901135875
4.9,9.808817922572873
5.0,10.002004846606287
5.1000000000000005,9.938226400811137
5.2,9.838296208281953
5.300000000000001,9.841647033947687
5.4,9.690822248104919
5.5,9.519676828194218
5.6000000000000005,9.444087775982227
5.7,9.315104573888739
5.800000000000001,9.475005280800376
5.9,9.163357025359433
6.0,9.255152897321068
6.1000000000000005,9.211950127833514
6.2,9.203696191922209
6.300000000000001,9.154510968016208
6.4,9.228933164904666
6.5,9.411722685677784
6.6000000000000005,9.40253151671439
6.7,9.686513242734236
6.800000000000001,9.849051219864023
6.9,9.994069561856053
7.0,10.025174325887372
7.1000000000000005,10.322000320574737
7.2,10.499623375545642
7.300000000000001,10.826016808180375
7.4,11.088482903117578
7.5,11.37263837874892
7.6000000000000005,11.63030652344701
7.7,11.869005964120474
7.800000000000001,12.028659334030671
7.9,12.087584278877422
8.0,12.39630389660366
8.1,12.36934691381844
8.200000000000001,12.470818422309076
8.3,12.615032371297373
8.4,12.676161460779818
8.5,12.701149809928898
8.6,12.803136383087702
8.700000000000001,12.713917794513822
8.8,12.600385239387238
8.9,12.760170803264367
9.0,12.654136873484541
9.1,12.427934333939831
9.200000000000001,12.208666756236319
9.3,12.382330909288688
9.4,12.1532987482731
9.5,12.050062055998168
9.600000000000001,12.009812104624448
9.700000000000001,11.763427324037496
9.8,11.91233977711072
9.9,11.895495467554493
